,Competition,Status,Home Team Name,Away Team Name,link
76,USL Championship,matchday 13,Charleston,Hartford,https://www.transfermarkt.com/spielbericht/index/spielbericht/3543653
77,USL Championship,matchday 13,Louisville City,ATL UTD 2,https://www.transfermarkt.com/spielbericht/index/spielbericht/3543659
78,USL Championship,matchday 13,Miami FC,TB Rowdies,https://www.transfermarkt.com/spielbericht/index/spielbericht/3543664
79,USL Championship,matchday 13,Switchbacks FC,San Antonio FC,https://www.transfermarkt.com/spielbericht/index/spielbericht/3543655
80,USL League One,matchday 15,Richmond Kicker,Fort Lauderdale,https://www.transfermarkt.com/spielbericht/index/spielbericht/3539565
81,USL League One,matchday 15,Greenville,Tormenta FC,https://www.transfermarkt.com/spielbericht/index/spielbericht/3539566
82,USL League One,matchday 15,Union Omaha,Forward Madison,https://www.transfermarkt.com/spielbericht/index/spielbericht/3539563
83,K League 2,matchday 21,Jeonnam Dragons,Chungnam Asan,https://www.transfermarkt.com/spielbericht/index/spielbericht/3511506
84,K League 2,matchday 21,Busan IPark,Ansan Greeners,https://www.transfermarkt.com/spielbericht/index/spielbericht/3511507
85,ÖFB-Cup,First Round,Spittal/Drau,Austria Vienna,https://www.transfermarkt.com/spielbericht/index/spielbericht/3590579
86,ÖFB-Cup,First Round,SW Bregenz,Vöcklamarkt,https://www.transfermarkt.com/spielbericht/index/spielbericht/3590571
87,ÖFB-Cup,First Round,Deutschkreutz,SKU Amstetten,https://www.transfermarkt.com/spielbericht/index/spielbericht/3590574
88,ÖFB-Cup,First Round,FC Wels,A. Lustenau,https://www.transfermarkt.com/spielbericht/index/spielbericht/3590575
89,ÖFB-Cup,First Round,Leobendorf,WSG Tirol,https://www.transfermarkt.com/spielbericht/index/spielbericht/3590582
90,ÖFB-Cup,First Round,Siegendorf,St. Jakob,https://www.transfermarkt.com/spielbericht/index/spielbericht/3590568
91,ÖFB-Cup,First Round,TWL Elektra,FC Gleisdorf 09,https://www.transfermarkt.com/spielbericht/index/spielbericht/3590573
92,ÖFB-Cup,First Round,St. Johann,FC Dornbirn,https://www.transfermarkt.com/spielbericht/index/spielbericht/3590578
93,ÖFB-Cup,First Round,SC Kalsdorf,SCR Altach,https://www.transfermarkt.com/spielbericht/index/spielbericht/3590583
94,ÖFB-Cup,First Round,Gurten,FC Lustenau,https://www.transfermarkt.com/spielbericht/index/spielbericht/3596981
95,ÖFB-Cup,First Round,Wiener Neustadt,A. Klagenfurt,https://www.transfermarkt.com/spielbericht/index/spielbericht/3590586
96,ÖFB-Cup,First Round,St. Anna/Aigen,Grazer AK 1902,https://www.transfermarkt.com/spielbericht/index/spielbericht/3590588
97,ÖFB-Cup,First Round,LASK,FC Marchfeld,https://www.transfermarkt.com/spielbericht/index/spielbericht/3590594
98,Scottish League Cup,Group Stage,Albion Rovers,Edinburgh City,https://www.transfermarkt.com/spielbericht/index/spielbericht/3603837
99,Scottish League Cup,Group Stage,Alloa Athletic,Livingston FC,https://www.transfermarkt.com/spielbericht/index/spielbericht/3603838
100,Scottish League Cup,Group Stage,Brora Rangers,Forfar Athletic,https://www.transfermarkt.com/spielbericht/index/spielbericht/3603839
101,Scottish League Cup,Group Stage,Clyde FC,Kilmarnock FC,https://www.transfermarkt.com/spielbericht/index/spielbericht/3603840
102,Scottish League Cup,Group Stage,Cowdenbeath,Brechin City,https://www.transfermarkt.com/spielbericht/index/spielbericht/3603841
103,Scottish League Cup,Group Stage,Dundee United,Arbroath,https://www.transfermarkt.com/spielbericht/index/spielbericht/3603842
104,Scottish League Cup,Group Stage,Dunfermline A.,Dumbarton,https://www.transfermarkt.com/spielbericht/index/spielbericht/3603843
105,Scottish League Cup,Group Stage,Falkirk,Hamilton Acad.,https://www.transfermarkt.com/spielbericht/index/spielbericht/3603844
106,Scottish League Cup,Group Stage,Kelty Hearts,East Fife,https://www.transfermarkt.com/spielbericht/index/spielbericht/3603846
107,Scottish League Cup,Group Stage,Motherwell FC,Queen o. t. S.,https://www.transfermarkt.com/spielbericht/index/spielbericht/3603847
108,Scottish League Cup,Group Stage,Peterhead,Cove Rangers,https://www.transfermarkt.com/spielbericht/index/spielbericht/3603848
109,Scottish League Cup,Group Stage,Queen's Park,Airdrieonians,https://www.transfermarkt.com/spielbericht/index/spielbericht/3603849
110,Scottish League Cup,Group Stage,Stenhousemuir,Partick Thistle,https://www.transfermarkt.com/spielbericht/index/spielbericht/3603850
111,Scottish League Cup,Group Stage,Stranraer,East Kilbride,https://www.transfermarkt.com/spielbericht/index/spielbericht/3603851
112,Primera División Clausura,matchday 1,Luqueño,Cerro Porteño,https://www.transfermarkt.com/spielbericht/index/spielbericht/3573557
113,Primera División Clausura,matchday 1,12 de Octubre,Nacional,https://www.transfermarkt.com/spielbericht/index/spielbericht/3573558
114,Premium Liiga,matchday 17,JK Viljandi,JK Trans Narva,https://www.transfermarkt.com/spielbericht/index/spielbericht/3506879
115,Premium Liiga,matchday 17,Kuressaare,TJK Legion,https://www.transfermarkt.com/spielbericht/index/spielbericht/3506878
116,Liga 1 Clausura,matchday 1,Dep. Municipal,UTC,https://www.transfermarkt.com/spielbericht/index/spielbericht/3608473
117,Liga 1 Clausura,matchday 1,U. San Martín,CA Mannucci,https://www.transfermarkt.com/spielbericht/index/spielbericht/3608474
118,Liga 1 Clausura,matchday 1,AD Cantolao,Sport. Cristal,https://www.transfermarkt.com/spielbericht/index/spielbericht/3608475
119,Premier League,matchday 21,Dundalk FC,Finn Harps,https://www.transfermarkt.com/spielbericht/index/spielbericht/3514492
120,First Division,matchday 16,Cobh Ramblers,Cabinteely,https://www.transfermarkt.com/spielbericht/index/spielbericht/3525475
121,Singapore Premier League,matchday 8,Tanjong Pagar,Young Lions,https://www.transfermarkt.com/spielbericht/index/spielbericht/3528210
